case_no,date_opened,subtype,date_closed,assigned_to,site_address,parcel_no,owner,resident,status,violation_description
RENT1902-016,2019-02-06,FAILURE TO OBTAIN,2019-03-26,MARY EMRICK,180 MAIN ST,020600090000440,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1902-024,2019-02-12,VIOLATIONS,2019-04-10,MARY EMRICK,95 EAST ST,020600004593440,,,CLOSED,2ND FLOOR UNIT - 1ST FLOOR ELECTRIC SMOKE DETECTOR
RENT1902-014,2019-02-06,FAILURE TO OBTAIN,2019-03-28,MARY EMRICK,694 ROSEDALE ST A,020619090035390,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1902-013,2019-02-06,FAILURE TO OBTAIN,2019-03-11,MARY EMRICK,722 COYBAY DR,020652290216802,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1902-012,2019-02-06,FAILURE TO OBTAIN,2019-02-27,MARY EMRICK,13 MORRIS ST,020600001957200,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1902-011,2019-02-06,VIOLATIONS,2020-01-29,MARY EMRICK,306 FORBES ST 406,020654706384241,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1902-010,2019-02-06,FAILURE TO OBTAIN,2019-02-26,MARY EMRICK,16 CATHEDRAL ST,020600008027600,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1902-009,2019-02-06,FAILURE TO OBTAIN,2019-03-08,MARY EMRICK,107 NORTHWEST ST,020600004087100,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1902-017,2019-02-07,VIOLATIONS,2019-06-21,ADAM KNIGHT,406 OAKLAWN AVE,020608690211682,,,CLOSED,"(3/28/2019 8:43 AM DT)
FAILED TO ABTAIN ELEC PERMIT TO INSTALL HARD WIRE SMOKES IN BASEMENT
FAILURE TO OBTAIN A FINAL INSPECTION ON INSTALLATION OF HARD WIRED SMOKE ALARMS IN THE BASEMENT"
RENT1902-017,2019-02-07,VIOLATIONS,2019-06-21,ADAM KNIGHT,406 OAKLAWN AVE,020608690211682,,,CLOSED,"(3/28/2019 8:43 AM DT)
FAILED TO ABTAIN ELEC PERMIT TO INSTALL HARD WIRE SMOKES IN BASEMENT
FAILURE TO OBTAIN A FINAL INSPECTION ON INSTALLATION OF HARD WIRED SMOKE ALARMS IN THE BASEMENT"
RENT1904-019,2019-04-15,VIOLATIONS,2019-06-12,ADAM KNIGHT,6 FORD CIR**,020601007999475,,,CLOSED,Rental Inspection
RENT1904-026,2019-04-17,VIOLATIONS,2019-09-27,ADAM KNIGHT,9 WELLINGTON PL,020652590019859,,,CLOSED,Rental Inspection
RENT1904-025,2019-04-17,VIOLATIONS,2019-06-19,ADAM KNIGHT,413 FOURTH ST,020600005346650,,,CLOSED,Rental Inspection
RENT1904-024,2019-04-17,VIOLATIONS,2019-06-12,ADAM KNIGHT,300 WOODLAWN AVE,020600090031388,,,CLOSED,Rental Inspection
RENT1904-023,2019-04-17,VIOLATIONS,2019-05-07,ADAM KNIGHT,131 S HOMELAND AVE**,020655109129400,,,CLOSED,Rental Inspection
RENT1904-022,2019-04-17,VIOLATIONS,2019-06-13,ADAM KNIGHT,2004 REIDSVILLE ST**,020600001751000,,,CLOSED,Rental Inspection
RENT1903-009,2019-03-07,FAILURE TO OBTAIN,2019-03-29,MARY EMRICK,123 SEVERN AVE,020600003825900,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1904-020,2019-04-16,VIOLATIONS,2019-12-18,JEANNETTE ROEDER,705 NEWTOWNE DR I,020600007136302,,,CLOSED,"EXTERIOR DOOR, BATH TUB, VENTS"
RENT1904-029,2019-04-23,VIOLATIONS,2019-04-23,MARY EMRICK,1029 SMITHVILLE ST**,020600003414310,,,CLOSED,COMBINATION SMOKE/CO DETECTORS
RENT1904-018,2019-04-15,VIOLATIONS,2019-10-28,ADAM KNIGHT,1976 FAIRFAX RD,020600004465300,,,CLOSED,Rental License
RENT1904-017,2019-04-15,VIOLATIONS,2019-06-13,ADAM KNIGHT,203 LOCKWOOD COURT,020600001880200,,,CLOSED,Rental Inspection
RENT1904-016,2019-04-15,VIOLATIONS,2019-11-13,ADAM KNIGHT,220 ADMIRAL DR**,020600004183500,,,CLOSED,Rental Inspection
RENT1904-015,2019-04-11,FAILURE TO OBTAIN,2019-04-23,MARY EMRICK,280 HILLTOP LN H,020680305230103,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1904-014,2019-04-11,VIOLATIONS,2019-05-01,MARY EMRICK,195 HANOVER ST**,020600003126200,,,CLOSED,MULTIPLE VIOLATIONS
RENT1904-013,2019-04-11,VIOLATIONS,2019-04-16,MARY EMRICK,714 ROSEDALE ST,020619090035409,,MICHAEL BULLOCK,CLOSED,NO ELECTRIC - POWER TURNED OFF BY BGE
RENT1904-021,2019-04-17,VIOLATIONS,2019-06-13,ADAM KNIGHT,36 HERITAGE CT**,020636090028553,,,CLOSED,Rental Inspection
RENT1904-035,2019-04-24,VIOLATIONS,2019-06-14,MARY EMRICK,18 STEELE AVE **,020600008283105,,,CLOSED,2ND FLOOR COMBINATION SMOKE/CO DETECTOR
RENT1904-044,2019-04-29,FAILURE TO OBTAIN,,,27 ARBOR HILL RD,,,,,
RENT1904-042,2019-04-29,VIOLATIONS,2019-05-24,MARY EMRICK,203 VICTOR PKWY H,020621290018184,,,CLOSED,DOG FECES/URINE ON BALCONY
RENT1904-041,2019-04-29,VIOLATIONS,2019-06-17,MARY EMRICK,8 JOHNSON PL,020600090219893,,,CLOSED,MULTIPLE VIOLATIONS
RENT1904-040,2019-04-26,VIOLATIONS,2019-06-12,JEANNETTE ROEDER,20 SOUTHGATE AVE**,020600008845500,,,CLOSED,UNIT 1 - BATHROOM CEILING
RENT1904-039,2019-04-26,VIOLATIONS,2019-05-07,MARY EMRICK,73 SPA RD,020681190030073,,,CLOSED,GFCI'S
RENT1904-038,2019-04-26,VIOLATIONS,2019-06-13,MARY EMRICK,28 MARKET SPACE**,020600005026000,,,CLOSED,MULTIPLE VIOLATIONS
RENT1904-027,2019-04-22,VIOLATIONS,2019-05-09,JEANNETTE ROEDER,56 CORNHILL ST,020600003360750,,,CLOSED,"CARBON MONOXIDE REQ., GFCI OUTLET"
RENT1904-036,2019-04-25,VIOLATIONS,2019-06-11,MARY EMRICK,94 DUKE OF GLOUCESTER ST**,020600006178995,,,CLOSED,SMOKE DETECTOR
RENT1904-028,2019-04-23,VIOLATIONS,2019-11-18,MARY EMRICK,8 BATES ST,020600090048426,,,CLOSED,MULTIPLE VIOLATIONS
RENT1904-034,2019-04-24,VIOLATIONS,2019-05-20,MARY EMRICK,14 CHESTON AVE**,020600003820700,,,CLOSED,MULTIPLE VIOLATIONS
RENT1904-033,2019-04-24,VIOLATIONS,2019-09-16,MARY EMRICK,1000 MADISON STREET,020600003864010,,,CLOSED,MULTIPLE VIOLATIONS
RENT1904-032,2019-04-24,FAILURE TO OBTAIN,2019-06-04,MARY EMRICK,152 CONDUIT ST,020600008654800,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1904-031,2019-04-23,FAILURE TO OBTAIN,2019-06-26,MARY EMRICK,1204 GEMINI DR C,020680305952775,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1904-030,2019-04-23,VIOLATIONS,2019-05-08,MARY EMRICK,9 MARYLAND AVE,020600008377600,,,CLOSED,SWIMMING POOL
RENT1904-010,2019-04-10,VIOLATIONS,2019-04-11,MARY EMRICK,49 COLLEGE AVE**,020600002467500,,,CLOSED,CO DETECTOR
RENT1904-037,2019-04-26,VIOLATIONS,2019-06-13,MARY EMRICK,5 CORNHILL ST**,020600005026005,,,CLOSED,OVERCROWDING/EMERGENCY LIGHTS/BACKUP LIGHTS
RENT1903-018,2019-03-15,VIOLATIONS,2019-04-16,MARY EMRICK,1 MADISON PL**,020600003990305,,,CLOSED,MULTIPLE VIOLATIONS
RENT1904-012,2019-04-10,VIOLATIONS,2019-05-01,MARY EMRICK,10 HICKS AVE,020600005791809,,,CLOSED,OVERGROWTH/BUSHES
RENT1903-025,2019-03-28,VIOLATIONS,2019-06-13,ADAM KNIGHT,41 JULIANA CIR E,020670290099182,,,CLOSED,Rental Inspection
RENT1903-024,2019-03-28,VIOLATIONS,2019-04-30,MARY EMRICK,99 CATHEDRAL STREET,020600001569800,,,CLOSED,FLOOR TILES IN KITCHEN & FAUCET DRIPPING
RENT1903-023,2019-03-28,VIOLATIONS,2019-06-13,ADAM KNIGHT,40 JULIANA CIR E,020670290099181,,,CLOSED,Rental Inspection
RENT1903-022,2019-03-19,VIOLATIONS,2019-07-25,ADAM KNIGHT,44 BOXWOOD RD,020682908353808,,,CLOSED,Rear yard being used as a dump.
RENT1903-022,2019-03-19,VIOLATIONS,2019-07-25,ADAM KNIGHT,44 BOXWOOD RD,020682908353808,,,CLOSED,Rear yard being used as a dump.
RENT1903-021,2019-03-18,VIOLATIONS,2019-05-07,ADAM KNIGHT,615 WYE ISLAND CT,020661090087213,,,CLOSED,Rental Inspection
RENT1903-027,2019-03-29,VIOLATIONS,2019-06-13,ADAM KNIGHT,61 JULIANA CIR E,020670290099202,,,CLOSED,Rental Inspection
RENT1903-019,2019-03-15,VIOLATIONS,2019-07-31,MARY EMRICK,6 PINKNEY ST,020600000143114,,,CLOSED,EXTERIOR WOOD SIDING
RENT1903-028,2019-03-29,VIOLATIONS,2019-06-13,ADAM KNIGHT,62 JULIANA CIR E,020670290099203,,,CLOSED,Rental INspection
RENT1903-017,2019-03-14,VIOLATIONS,2019-03-26,MARY EMRICK,37-A CORNHILL ST**,020600003314500,,,CLOSED,COMBINATION SMOKE/CO
RENT1903-016,2019-03-13,FAILURE TO RENEW,2019-04-30,MARY EMRICK,1239 TYLER AVENUE**,020600009132565,,,CLOSED,FAILURE TO RENEW RENTAL LICENSE
RENT1903-015,2019-03-13,VIOLATIONS,2019-04-03,MARY EMRICK,211 MELVIN AVE**,020600006207600,,,CLOSED,ELECTRIC COMBO UNITS NEEDED
RENT1903-014,2019-03-12,VIOLATIONS,2019-09-20,JEANNETTE ROEDER,9 EDELMAR DRIVE**,020684003773420,,,CLOSED,TRASH & DEBRIS
RENT1903-013,2019-03-12,VIOLATIONS,2019-03-29,MARY EMRICK,306 FORBES ST L,020654704208711,,,CLOSED,ELECTRIC COMBO UNIT
RENT1903-012,2019-03-07,VIOLATIONS,2019-04-05,JEANNETTE ROEDER,1135 AUGUST DRIVE,020604090212618,,,CLOSED,CARBON MONOXIDE REQUIREMENT
RENT1903-020,2019-03-18,VIOLATIONS,2019-08-08,ADAM KNIGHT,795-E FAIRVIEW AVE,020680590026946,,,CLOSED,Rental Inspection
RENT1904-002,2019-04-01,VIOLATIONS,2019-05-14,ADAM KNIGHT,603 SKIPJACK CT,020661090015052,,,CLOSED,RENTAL INSPECTION
RENT1901-027,2019-01-23,VIOLATIONS,2019-03-13,MARY EMRICK,ALLEN APARTMENTS,,,,CLOSED,MULTIPLE VIOLATIONS
RENT1904-009,2019-04-09,VIOLATIONS,,JEANNETTE ROEDER,214 JANWALL ST,,,,,"UPDATE ALL SMOKE DETECTORS, NEEDS CO2 DETECTORS"
RENT1904-009,2019-04-09,VIOLATIONS,,JEANNETTE ROEDER,214 JANWALL ST,,,,,"UPDATE ALL SMOKE DETECTORS, NEEDS CO2 DETECTORS"
RENT1904-008,2019-04-09,VIOLATIONS,,JEANNETTE ROEDER,212 JANWALL ST,,,,,"UPDATE ALL SMOKE DETECTORS, NEEDS CO2 DETECTORS"
RENT1904-008,2019-04-09,VIOLATIONS,,JEANNETTE ROEDER,212 JANWALL ST,,,,,"UPDATE ALL SMOKE DETECTORS, NEEDS CO2 DETECTORS"
RENT1904-007,2019-04-08,FAILURE TO OBTAIN,2019-04-30,MARY EMRICK,1220 GEMINI DR V,020680304043950,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1904-006,2019-04-02,VIOLATIONS,2019-06-05,JEANNETTE ROEDER,36 MARYLAND AVE**,020600005702580,,,CLOSED,"KITCHEN LEAK, EXT. CORDS, GFCI, OUTLET COVER"
RENT1904-005,2019-04-01,VIOLATIONS,2019-06-17,ADAM KNIGHT,631 BYWATER RD**,020628708407300,,,CLOSED,Rental INspection
RENT1903-026,2019-03-29,VIOLATIONS,2019-06-13,ADAM KNIGHT,46 JULIANA CIR E,020670290099187,,,CLOSED,Rental Inspection
RENT1904-003,2019-04-01,VIOLATIONS,2019-04-15,MARY EMRICK,99 MONTICELLO AVE**,020600001062000,,,CLOSED,CO DETECTORS
RENT1904-011,2019-04-10,VIOLATIONS,2019-08-13,MARY EMRICK,17 CORNHILL ST**,020600003988825,,,CLOSED,EXTERIOR PAINTING
RENT1904-001,2019-04-01,VIOLATIONS,2019-04-23,MARY EMRICK,1 ALDEN LN**,020697007376600,,,CLOSED,"COMBO SMOKE/CO DETECTORS, 10 YEAR DETECTORS"
RENT1903-033,2019-03-29,VIOLATIONS,2019-06-13,ADAM KNIGHT,75 JULIANA CIR E,020670290099216,,,CLOSED,Rental Inspection
RENT1903-032,2019-03-29,VIOLATIONS,2019-06-13,ADAM KNIGHT,70 JULIANA CIR E,020670290099211,,,CLOSED,Rental Inspection
RENT1903-031,2019-03-29,VIOLATIONS,2019-06-13,ADAM KNIGHT,67 JULIANA CIR E,020670290099208,,,CLOSED,Rental Inspection
RENT1903-030,2019-03-29,VIOLATIONS,2019-06-13,ADAM KNIGHT,65 JULIANA CIR E,020670290099206,,,CLOSED,Rental INspection
RENT1903-029,2019-03-29,VIOLATIONS,2019-06-13,ADAM KNIGHT,64-2 JULIANA CIR E,020670290099205,,,CLOSED,Rental Inspection
RENT1904-004,2019-04-01,VIOLATIONS,2019-06-17,ADAM KNIGHT,629 BYWATER RD**,020628704645079,,,CLOSED,Rental Inspection
RENT1810-042,2018-10-31,VIOLATIONS,2019-02-12,MARY EMRICK,1885 BOWMAN CT,020600090024392,,,CLOSED,MOLD GROWING DOWNSTAIRS IN CLOSET AND ON DOOR. HAS 3 CHILDREN. WAS REPORTED TO LANDLORD AND INSPECTED AND TREATED IN SEPTEMBER BUT MOLD HAS RETURNED WORSE.
RENT1810-042,2018-10-31,VIOLATIONS,2019-02-12,MARY EMRICK,1885 BOWMAN CT,020600090024392,,,CLOSED,MOLD GROWING DOWNSTAIRS IN CLOSET AND ON DOOR. HAS 3 CHILDREN. WAS REPORTED TO LANDLORD AND INSPECTED AND TREATED IN SEPTEMBER BUT MOLD HAS RETURNED WORSE.
RENT1811-007,2018-11-02,VIOLATIONS,2019-06-12,ADAM KNIGHT,163 BRIGHTWATER DR,020602590089932,,,CLOSED,RENTAL INSPECTION
RENT1811-006,2018-11-02,VIOLATIONS,2018-12-21,ADAM KNIGHT,632 ISLAND CREEK CT,020661090087164,,,CLOSED,RENTAL INSPECTION
RENT1811-005,2018-11-02,VIOLATIONS,2019-10-10,ADAM KNIGHT,51 HERITAGE CT,020636090028566,,,CLOSED,RENTAK INSPECTION
RENT1811-004,2018-11-02,VIOLATIONS,2018-12-31,ADAM KNIGHT,9-B HERITAGE COURT #122,020636090028596,,,CLOSED,RENTAL INSPECTION
RENT1811-003,2018-11-02,VIOLATIONS,2019-02-21,ADAM KNIGHT,131 MERRYMAN CT**,020636090028490,,,CLOSED,RENTAL INSPECTION
RENT1811-025,2018-11-29,VIOLATIONS,2018-12-18,JEANNETTE ROEDER,1511 BAY RIDGE AVEVUE**,020628007672950,,,CLOSED,UNTAGGED VEHICLES
RENT1811-001,2018-11-02,VIOLATIONS,2018-11-19,MARY EMRICK,669 GENESSEE STREET,020698690035271,,,CLOSED,CO DETECTORS ON EACH LEVEL/10 YR SMOKES ALL BEDROOMS
RENT1811-010,2018-11-05,VIOLATIONS,2018-12-07,MARY EMRICK,9 SOUTHGATE AVE,020600000012600,,,CLOSED,COOKING APPLIANCES
RENT1810-041,2018-10-31,VIOLATIONS,2019-02-12,MARY EMRICK,1865 BOWMAN CT,020600090024392,,,CLOSED,"tenant stated she has mold in bathroom tub/wall area, kitchen cabinet and closet, trim in kitchen area, wanted me to have them relocate her to another unit.  I told her I would have them do a mold test as well as send me the report asap but that I cannot have them relocate her to another unit not knowing what they have etc."
RENT1810-041,2018-10-31,VIOLATIONS,2019-02-12,MARY EMRICK,1865 BOWMAN CT,020600090024392,,,CLOSED,"tenant stated she has mold in bathroom tub/wall area, kitchen cabinet and closet, trim in kitchen area, wanted me to have them relocate her to another unit.  I told her I would have them do a mold test as well as send me the report asap but that I cannot have them relocate her to another unit not knowing what they have etc."
RENT1810-040,2018-10-31,VIOLATIONS,2019-02-19,ADAM KNIGHT,152 JEFFERSON ST,020600008424307,,,CLOSED,Rental Inspection
RENT1810-039,2018-10-31,VIOLATIONS,2018-11-19,MARY EMRICK,"5 MARYLAND AVENUE**, # 7",020601390043802,,,CLOSED,COMBINATION SMOKE/CO DETECTOR
RENT1810-038,2018-10-31,VIOLATIONS,2019-03-22,ADAM KNIGHT,301 BURNSIDE ST C302,020699390011301,,,CLOSED,rental inspection
RENT1810-037,2018-10-31,VIOLATIONS,2018-12-04,MARY EMRICK,1-34 MONROE RD**,020600003628028,,,CLOSED,MULTIPLE VIOLATIONS
RENT1810-036,2018-10-30,VIOLATIONS,2019-06-13,ADAM KNIGHT,633 GREENBRIAR LANE,020628701697023,,,CLOSED,RENTAL INSPECTION
RENT1811-002,2018-11-02,VIOLATIONS,2018-12-13,MARY EMRICK,109 MARKET ST**,020600004522400,,,CLOSED,MULTIPLE VIOLATIONS
RENT1811-016,2018-11-07,VIOLATIONS,2018-11-29,MARY EMRICK,16 FLEET ST,020600005577608,,,CLOSED,BED IN LOFT AREA
RENT1901-029,2019-01-24,FAILURE TO OBTAIN,2019-02-06,MARY EMRICK,16 WOODLAWN AVE,020600000466200,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1811-023,2018-11-29,VIOLATIONS,2019-02-12,MARY EMRICK,736 ROSEDALE ST**,020600006819400,,,CLOSED,COMBO SMOKE/CO DETECTORS
RENT1811-022,2018-11-26,VIOLATIONS,2019-11-13,ADAM KNIGHT,936 BAY RIDGE AVE 205,020611390087603,,,CLOSED,Rental Inspection
RENT1811-021,2018-11-16,VIOLATIONS,2019-03-01,ADAM KNIGHT,1 BREWER ST**,020600003673600,,,CLOSED,Rental Inspection
RENT1811-020,2018-11-16,VIOLATIONS,2019-01-08,ADAM KNIGHT,21 GENTRY CT,020626990009934,,,CLOSED,Rental Inspection
RENT1811-019,2018-11-15,VIOLATIONS,2018-12-20,ADAM KNIGHT,760-F FAIRVIEW AVENUE,020680590026924,,,CLOSED,Rental Inspection
RENT1811-008,2018-11-05,VIOLATIONS,2018-12-07,MARY EMRICK,15 MONTICELLO AVE,020600005188505,,,CLOSED,MULTIPLE VIOLATIONS
RENT1811-017,2018-11-15,VIOLATIONS,2018-12-13,MARY EMRICK,21 BENS DR B,020600000153950,,,CLOSED,ROACHES
RENT1811-009,2018-11-05,VIOLATIONS,2018-12-07,MARY EMRICK,37 WATER STREET,020610690029945,,,CLOSED,CO DETECTORS
RENT1811-015,2018-11-06,VIOLATIONS,2018-11-29,JEANNETTE ROEDER,309 CHESAPEAKE AVE,020600005511510,,,CLOSED,CARBON MONOXIDE REQUIREMENT
RENT1811-014,2018-11-06,VIOLATIONS,2018-11-29,JEANNETTE ROEDER,210-E VICTOR PARKWAY,020621290018241,,,CLOSED,CARBON MONOXIDE REQUIREMENT
RENT1811-013,2018-11-06,VIOLATIONS,2019-08-16,JEANNETTE ROEDER,12 SILVERWOOD CIRCLE # 11,020621290018438,,,CLOSED,LEAK
RENT1811-012,2018-11-06,VIOLATIONS,2019-03-12,MARY EMRICK,63 TOWN PINES COURT,020654903864204,,,CLOSED,BATHROOM FANS/FLOORING
RENT1811-011,2018-11-06,VIOLATIONS,2019-01-18,MARY EMRICK,69 TOWN PINES COURT,020654903864200,,,CLOSED,CABINETS
RENT1810-033,2018-10-30,VIOLATIONS,2018-12-27,MARY EMRICK,1007 SMITHVILLE STREET**,020600006431650,,,CLOSED,MULTIPLE VIOLATIONS
RENT1811-018,2018-11-15,VIOLATIONS,2019-05-07,ADAM KNIGHT,756-A FAIRVIEW AVENUE**,020680590026908,,,CLOSED,Rental Inspection
RENT1810-008,2018-10-08,VIOLATIONS,2018-12-26,ADAM KNIGHT,305 WASHINGTON ST,020600002053800,,,CLOSED,Rental Inspection
RENT1810-035,2018-10-30,VIOLATIONS,2018-11-28,ADAM KNIGHT,639 BYWATER RD,020628704897202,,,CLOSED,RENTAL INSPECTION
RENT1810-015,2018-10-11,VIOLATIONS,2019-05-13,JEANNETTE ROEDER,"5 SILVERWOOD CIRCLE**, # 5",020621290018297,,,CLOSED,CARBON MONOXIDE DETECTOR
RENT1810-014,2018-10-11,VIOLATIONS,2018-11-27,ADAM KNIGHT,616 GREENBRIAR LN,020628701697037,,,CLOSED,Rental Inspection
RENT1810-013,2018-10-11,VIOLATIONS,2019-02-22,ADAM KNIGHT,625 TRIPP CREEK COURT,020661090087272,,,CLOSED,Rental Inspection
RENT1810-012,2018-10-11,VIOLATIONS,2019-02-12,ADAM KNIGHT,618 ISLAND CREEK CT,020661090087178,,,CLOSED,Rental Inspection
RENT1810-011,2018-10-09,VIOLATIONS,2018-11-27,MARY EMRICK,SPA COVE APARTMENTS - 900 BUIL,020600090052743,,,CLOSED,MULTIPLE VIOLATIONS
RENT1810-017,2018-10-17,VIOLATIONS,2018-11-19,MARY EMRICK,49 MARYLAND AVE 1/2,020600003065200,,,CLOSED,ELECTRIC SMOKE DETECTOR & EXTERIOR HANDRAIL
RENT1810-009,2018-10-08,VIOLATIONS,2019-03-01,ADAM KNIGHT,69 GENTRY CT,020626990009967,,,CLOSED,Rental Inspection
RENT1810-018,2018-10-17,VIOLATIONS,2018-11-19,MARY EMRICK,113 CHARLES ST**,020600007513115,,,CLOSED,MULTIPLE VIOLATIONS
RENT1810-007,2018-10-08,VIOLATIONS,2018-11-28,ADAM KNIGHT,603 BROACH CT,020661090087235,,,CLOSED,RentalInspection
RENT1810-006,2018-10-08,VIOLATIONS,2018-12-20,ADAM KNIGHT,8 JULIANA CIRCLE W,020670290099149,,,CLOSED,rental inspection
RENT1810-005,2018-10-08,VIOLATIONS,2018-12-19,ADAM KNIGHT,2 TUCKER ST,020600000443100,,,CLOSED,Rental Inspection
RENT1810-004,2018-10-05,VIOLATIONS,2019-02-14,MARY EMRICK,ANNAPOLIS GARDENS,020600090024392,,,CLOSED,MULTIPLE VIOLATIONS
RENT1810-003,2018-10-03,VIOLATIONS,2018-11-06,MARY EMRICK,88 CLAY ST,020600001866150,,RESIDENT,CLOSED,DOG FECES IN REAR YARD
RENT1810-002,2018-10-03,VIOLATIONS,2018-12-04,MARY EMRICK,905 CARROLLTON AVE**,020600003575600,,,CLOSED,MULTIPLE VIOLATIONS
RENT1810-010,2018-10-08,VIOLATIONS,2019-01-08,ADAM KNIGHT,216 LINDEN AVE**,020600000609000,,,CLOSED,Rental Inspection
RENT1810-025,2018-10-18,VIOLATIONS,2018-11-15,MARY EMRICK,1310 ROOSEVELT ST,020605790009543,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1811-026,2018-11-30,VIOLATIONS,2019-01-11,MARY EMRICK,28 COLLEGE AVE**,020600003044100,,,CLOSED,CO DETECTORS
RENT1810-032,2018-10-29,VIOLATIONS,2018-11-13,MARY EMRICK,34 PLEASANT ST,020600006413450,,,CLOSED,ROOF LEAK/WET CEILINGS AND MOLD
RENT1810-031,2018-10-29,VIOLATIONS,2018-11-27,MARY EMRICK,15 NEWMAN ST UNITS 1 &B,020600090234459,,,CLOSED,BOTH UNITS NEED COMBINATION SMOKE/CO DETECTORS
RENT1810-030,2018-10-29,VIOLATIONS,2018-11-27,MARY EMRICK,77 W. WASHINGTON STREET**,020600005219200,,,CLOSED,2ND BEDROOM - 10 YR SMOKE DETECTOR
RENT1810-029,2018-10-23,VIOLATIONS,2019-05-14,JEANNETTE ROEDER,209-E VICTOR PARKWAY**,020621290018205,,,CLOSED,OVERCROWDING
RENT1810-028,2018-10-23,VIOLATIONS,2018-11-06,MARY EMRICK,16 EAST ST**,020600002844800,,,CLOSED,CO DETECTORS ALL LEVELS/BATHROOM CAULK/ELECTRICAL OUTLET
RENT1810-016,2018-10-17,VIOLATIONS,2018-11-19,MARY EMRICK,47 MARYLAND AVE**,020600003065200,,,CLOSED,DECKING BOARDS
RENT1810-026,2018-10-23,VIOLATIONS,2018-11-19,MARY EMRICK,"5 MARYLAND AVENUE**, # 5",020601390043800,,,CLOSED,CO DETECTORS & AC VENT IN LIVING ROOM
RENT1810-034,2018-10-30,VIOLATIONS,2019-02-21,MARY EMRICK,12 MARYLAND AVE E,020600006132005,,,CLOSED,MULTIPLE VIOLATIONS
RENT1810-024,2018-10-18,VIOLATIONS,2019-01-09,MARY EMRICK,143 MARKET ST,020600006771803,,,CLOSED,ELECTRIC HARDWIRED SMOKE/CO DETECTORS AND GFCI
RENT1810-023,2018-10-18,VIOLATIONS,2018-11-06,MARY EMRICK,97 MARKET ST** 2,020600000599702,,,CLOSED,CO DETECTORS
RENT1810-022,2018-10-18,VIOLATIONS,2018-11-15,MARY EMRICK,110 CLAY ST,020600006725600,,,CLOSED,FLOORING/CEILING/OUTLET
RENT1810-021,2018-10-18,VIOLATIONS,2018-11-15,MARY EMRICK,106 CLAY ST,020600003858400,,,CLOSED,ROACHES/HOUSEKEEPING/SCREENS/OUTLET
RENT1810-020,2018-10-17,VIOLATIONS,2020-09-15,ADAM KNIGHT,143 MERRYMAN CT,020636090028496,,,CLOSED,Rental Inspection
RENT1810-019,2018-10-17,VIOLATIONS,2018-10-31,MARY EMRICK,1044 MADISON ST**,020600005862000,,,CLOSED,OVERGROWTH ALONG SIDEWALK AREA
RENT1810-027,2018-10-23,VIOLATIONS,2018-11-06,MARY EMRICK,20 COLLEGE AVENUE**,020600090001144,,,CLOSED,CARBON MONOXIDE DETECTORS
RENT1901-002,2019-01-02,FAILURE TO OBTAIN,2019-05-09,MARY EMRICK,1205 TYLER AVE,020600005565000,,,CLOSED,"UNTAGGED TRUCK, CAMPER AND ILLEGAL RENTAL UNIT"
RENT1901-009,2019-01-08,VIOLATIONS,2019-03-12,MARY EMRICK,181 CLAY ST**,020600003852805,,,CLOSED,MULTIPLE VIOLATIONS
RENT1901-008,2019-01-07,VIOLATIONS,2019-05-23,JEANNETTE ROEDER,19 BOXWOOD RD,020682902223205,,,CLOSED,"EXHAUST FAN, CEILING"
RENT1901-007,2019-01-03,VIOLATIONS,2019-01-03,ADAM KNIGHT,633 GREENBRIAR LANE,020628701697023,,,CLOSED,Rental Inspection
RENT1901-006,2019-01-03,VIOLATIONS,2019-02-20,ADAM KNIGHT,629 GREENBRIAR LN,020628701697021,,,CLOSED,Rental Inspection
RENT1901-005,2019-01-03,VIOLATIONS,2019-02-21,ADAM KNIGHT,223 FARRAGUT RD**,020601003319900,,,CLOSED,Rental Inspection
RENT1811-024,2018-11-29,VIOLATIONS,2018-12-18,MARY EMRICK,109 CHARLES STREET,020600006141575,,,CLOSED,AC VENTS MOLD & BATHROOM GFCI DEFECTIVE
RENT1901-003,2019-01-02,FAILURE TO OBTAIN,2019-04-10,MARY EMRICK,113 ROSECREST DR,020669505291300,,,CLOSED,"ILLEGAL RENTAL UNIT, OCCUPANTS IN SHED AND GRADING WORK"
RENT1901-012,2019-01-08,FAILURE TO OBTAIN,2019-12-13,MARY EMRICK,1205 MARDA LN,020600001715000,,,CLOSED,ILLEGAL RENTAL UNIT
